Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
FREETREND VN INDUSTRIAL CO.LTD.,FINISHED GOODS,FOOTWEAR,NIKE,DEAN SHOES,HO CHI MINH,HO CHI MINH,70000,Vietnam,SE ASIA,17560,16446,87.00%,0.00%
FRONTLINE IMAGE LIMITED,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),PLYMOUTH,ENGLAND,PL6 7FH,United Kingdom,EMEA,79,62,43.00%,8.10%
FUJIAN FYNEX GARMENT LIMITED LIABILITY COMPANY - XIAMEN BRANCH,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),XIAMEN,FUJIAN,361100,China,N ASIA,78,43,37.00%,0.00%
"FUJIAN LIFENG FOOTWEAR CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,PUTIAN,FUJIAN,351119,China,N ASIA,3799,3499,76.00%,0.00%
"FUJIAN SAN FENG FOOTWEAR CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,FUZHOU,FUJIAN,350018,China,N ASIA,3203,2736,78.00%,0.00%
"FUJIAN XIEFENG FOOTWEAR CO.,LTD.",FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,PUTIAN,FUJIAN,351131,China,N ASIA,4596,4235,76.00%,0.00%
"FU-LUH SHOES CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,CHINGLUH,LONG AN,LONG AN,82500,Vietnam,SE ASIA,12190,10867,73.00%,0.00%
"FUTURE GARMENT CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BANGKOK,BANGKOK,10120,Thailand,SE ASIA,449,426,65.00%,73.00%
GAIN LUCKY,MATERIALS,MATERIALS,NIKE,NINGBO,PHUOC DONG,TAY NINH,n/a,Vietnam,SE ASIA,,,0.00%,0.00%
GB LIGHT (KOREA),MATERIALS,MATERIALS,NIKE,GB LIGHT,BUSAN,BUSAN,618-820,South Korea,N ASIA,,,0.00%,0.00%
GB LIGHT (VIETNAM),MATERIALS,MATERIALS,NIKE,GB LIGHT,THU DAU MOT,BINH DUONG,0,Vietnam,SE ASIA,,,0.00%,0.00%
GERMTON INDUSTRIAL COMPANY LTD.,FINISHED GOODS,APPAREL,"NIKE, Converse",GERMTON,HUONG AN COMMUNE,QUNG NAM,560000,Vietnam,SE ASIA,2806,2472,85.00%,0.60%
GIANEL SHOES SRL,FINISHED GOODS,FOOTWEAR,NIKE,GIANEL,CASARANO,LECCE,73042,Italy,EMEA,121,118,69.00%,5.90%
GILDAN ACTIVEWEAR SAN MIGUEL S.A.,FINISHED GOODS,APPAREL,NIKE,GILDAN,CHOLOMA,CORTÉS,0,Honduras,AMERICAS,5770,5091,59.00%,0.00%
GILDAN APPAREL USA INC. (VILLANUEVA),FINISHED GOODS,APPAREL,NIKE,GILDAN,VILLANUEVA,CORTÉS,0,Honduras,AMERICAS,5665,4969,54.00%,0.00%
GILDAN HOSIERY RIO NANCE S DE R.L. RN4,FINISHED GOODS,EQUIPMENT,NIKE,GILDAN,CHOLOMA,YORO,0,Honduras,AMERICAS,1958,1957,21.00%,0.20%
GKOGKAS LAMPROS,FINISHED GOODS,APPAREL,NIKE,GKOGKAS LAMPROS,ATHENS,EVVOIA,13341,Greece,EMEA,12,8,38.00%,37.50%
"GLOBAL SALES AND WAREHOUSING, LLC",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (AP),OXNARD,CALIFORNIA,93030,United States of America,AMERICAS,36,30,43.00%,66.70%
GOLD LONG JOHN CHINA,MATERIALS,MATERIALS,NIKE,GOLD LONG JOHN,ZHONGSHAN,GUANGDONG,528400,China,N ASIA,,,0.00%,0.00%
"GREEN TG CO., LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),CHAU THANH DISTRICT,TIN GIANG,84000,Vietnam,SE ASIA,927,791,85.00%,1.10%
"GREEN VINA CO., LTD.",FINISHED GOODS,APPAREL,NIKE,GREEN TEXTILES,THUAN AN,BÌNH DUONG,590000,Vietnam,SE ASIA,1761,1594,82.00%,0.00%
"GREENTECH HEADGEAR CO., LTD",FINISHED GOODS,APPAREL,NIKE,ASIAN SOURCING HEADWEAR,NHON TRACH,ÐNG NAI,810000,Vietnam,SE ASIA,1680,1400,80.00%,0.00%
"GUANG YANG SPORTING CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,SHOETOWN,QING YUAN,GUANGDONG,511800,China,N ASIA,608,430,91.00%,0.00%
GUARDLAB INC,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),FARMINGDALE,NEW YORK,11735,United States of America,AMERICAS,8,5,38.00%,0.00%
H&H SCREENING & GRAPHICS INC.,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),VISTA,CALIFORNIA,92081,United States of America,AMERICAS,27,23,55.00%,0.00%
"H&L APPAREL(VIETNAM) CO.,LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BEN CAT DISTRICT,BÌNH DUONG,590000,Vietnam,SE ASIA,850,700,90.00%,0.00%
