Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Supplier Group,City,State,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
PT TUNTEX GARMENT INDONESIA-CKP,FINISHED GOODS,APPAREL,NIKE,TUNTEX,TANGERANG,BANTEN,15710,Indonesia,S ASIA,1382,1206,96.00%,0.00%
PT TUNTEX GARMENT INDONESIA-TGR,FINISHED GOODS,APPAREL,NIKE,TUNTEX,TANGERANG,BANTEN,15112,Indonesia,S ASIA,1040,679,92.00%,1.60%
PT VICTORY CHINGLUH INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,CHINGLUH,TANGERANG,BANTEN,15560,Indonesia,S ASIA,13512,13511,75.00%,0.30%
PT. CCH INDONESIA,FINISHED GOODS,APPAREL,NIKE,CHUAN CHENG,BANDUNG BARAT,JAWA BARAT,40552,Indonesia,S ASIA,1348,1090,64.00%,0.50%
PT. CHANG SHIN INDONESIA MERGED WITH SEO HEUNG,FINISHED GOODS,FOOTWEAR,NIKE,CHANGSHIN,KARAWANG,JAWA BARAT,41374,Indonesia,S ASIA,2276,2163,76.00%,0.20%
PT. CHING LUH INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,CHINGLUH,CIKUPA,BANTEN,15710,Indonesia,S ASIA,8170,6683,74.00%,0.00%
PT. FENG TAY INDONESIA ENTERPRISES,FINISHED GOODS,FOOTWEAR,NIKE,FENG TAY,BANDUNG,JAWA BARAT,40376,Indonesia,S ASIA,14396,12961,64.00%,0.10%
PT. FORMOSA BAG INDONESIA,FINISHED GOODS,EQUIPMENT,NIKE,FORMOSA,GROBOGAN,JAWA TENGAH,58165,Indonesia,S ASIA,3536,2795,89.00%,0.40%
PT. GRAND BEST INDONESIA,FINISHED GOODS,APPAREL,NIKE,TUNTEX,SEMARANG,JAWA TENGAH,50174,Indonesia,S ASIA,2307,2070,93.00%,0.40%
PT. KANINDO MAKMUR JAYA,FINISHED GOODS,EQUIPMENT,NIKE,KANAAN,"JEPARA, CENTRAL JAVA",JAWA TENGAH,59462,Indonesia,S ASIA,5619,5500,79.00%,0.10%
PT. POU YUEN INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,CIANJUR,JAWA BARAT,43284,Indonesia,S ASIA,10940,8600,57.00%,0.60%
PT. SHOETOWN LIGUNG INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,MAJALENGKA,JAWA BARAT,45456,Indonesia,S ASIA,4064,2645,51.00%,0.70%
PT. TK INDUSTRIAL INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,"BELENDUNG, CIBOGO",JAWA BARAT,41285,Indonesia,S ASIA,24573,21609,87.00%,0.30%
PT. YC TEC INDONESIA,FINISHED GOODS,FOOTWEAR,NIKE,NO GROUP (FW),CIBATU KABUPATEN PURWAKARTA,JAWA BARAT,41181,Indonesia,S ASIA,589,531,58.00%,1.30%
QINGDAO CHANGSHIN JIMO FACTORY,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,CHANGSHIN,"JIMO, QINGDAO",SHANDONG,266200,China,N ASIA,514,433,40.00%,0.00%
"QINGDAO CHANGSHIN SHOES CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,CHANGSHIN,QINGDAO,SHANDONG,266300,China,N ASIA,3602,3130,87.00%,0.00%
"QINGDAO TAEHWA SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,LAIXI CITY,SHANDONG,250011,China,N ASIA,508,498,92.00%,0.00%
"QINGDAO TAEJIN SHOES CO., LTD",FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,JIMO CITY,SHANDONG,250011,China,N ASIA,357,348,96.00%,0.00%
"QINGDAO TAEKWANG SHOES CO., LTD",FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,QINGDAO,SHANDONG,266604,China,N ASIA,2007,1922,79.00%,0.00%
"QINGDAO YANTAI NE APPAREL CO.,LTD",FINISHED GOODS,APPAREL,NIKE,NICE APPAREL,YANTAI,SHANDONG,265100,China,N ASIA,1004,821,87.00%,0.00%
QINGYUAN CITY LIANNAN YAO NATIONALITY AUTONOMOUS COUNTY RONGFANG FOOTWEAR,FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,QING YUAN,GUANGDONG,513300,China,N ASIA,743,615,87.00%,0.00%
"QUANG VIET ENTERPRISE CO., LTD",FINISHED GOODS,APPAREL,NIKE,QUANG VIET,HO CHI MINH,HO CHI MINH,70000,Vietnam,SE ASIA,6160,5920,94.00%,0.00%
QUANZHOU  FENGZE YISHENG LEATHER CO,FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),QUANZHOU,FUJIAN,362341,China,N ASIA,42,33,1.00%,3.00%
QUANZHOU UNISON LIGHT INDUSTRIAL MANUFACTURING CO. LTD.,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),QUANZHOU,FUJIAN,362000,China,N ASIA,39,39,47.00%,0.00%
R. A. INTERTRADING S. A.,FINISHED GOODS,APPAREL,NIKE,RA INTERTRADING,CAPITAL FEDERAL,BUENOS AIRES,C1439FVQ,Argentina,AMERICAS,799,649,43.00%,67.20%
"RAJA UCHINO CO.,LTD.",FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),SRIRACHA,CHON BURI,20230,Thailand,SE ASIA,134,105,65.00%,0.00%
RAMATEX APPAREL SUZHOU LTD.,FINISHED GOODS,APPAREL,NIKE,TAI WAH,SUZHOU,JIANGSU,215121,China,N ASIA,494,438,97.00%,0.00%
RAMATEX INDUSTRIA LTD.,MATERIALS,MATERIALS,NIKE,RAMATEX,JIANG SU,JIANGSU,215021,China,N ASIA,,,0.00%,0.00%
RAMATEX INDUSTRIAL SUZHOU LTD,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,TAI WAH,SUZHOU,JIANGSU,215021,China,N ASIA,617,517,91.00%,0.00%
RAMATEX TEXTILES INDUSTRIAL SDN. BHD.,MATERIALS,MATERIALS,NIKE,RAMATEX, JOHOR,,0,Malaysia,S ASIA,,,0.00%,0.00%
REGENT GARMENT FACTORY LTD,FINISHED GOODS,APPAREL,NIKE,CRYSTAL,HAI DUONG,HI DUONG,170000,Vietnam,SE ASIA,3284,2753,61.00%,0.00%
"REGINA MIRACLE INTERNATIONAL VIETNAM CO., LTD",FINISHED GOODS,APPAREL,NIKE,REGINA MIRACLE,HAI PHONG,HAI PHONG,180000,Vietnam,SE ASIA,6830,5438,68.00%,0.00%
REGINA MIRACLE INTIMATE APPAREL SHENZHEN LIMITED,FINISHED GOODS,APPAREL,NIKE,REGINA MIRACLE,SHENZHEN,GUANGDONG,518132,China,N ASIA,74,63,60.00%,0.00%
RIETVELD SERIGRAFIE BV,FINISHED GOODS,APPAREL,NIKE,RIETVELD,ZOETERWOUDE RIJNDIJK,ZUID-HOLLAND,2382NW,Netherlands,EMEA,32,25,44.00%,28.00%
RIPON ATHLETIC,FINISHED GOODS,APPAREL,NIKE,RIPON,BERLIN,WISCONSIN,54923,United States of America,AMERICAS,143,126,80.00%,0.00%
RJ LIEBE ATHLETIC LETTERING CO.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,RJ LIEBE ATHLETIC LETTERING,CHESTERFIELD,MISSOURI,63005,United States of America,AMERICAS,48,34,67.00%,0.00%
ROLLSPORT VIETNAM FOOTWEAR LIMITED,FINISHED GOODS,FOOTWEAR,NIKE,HUALI,THANH HOA,THANH HÓA,410000,Vietnam,SE ASIA,10270,8652,89.00%,0.00%
RS/TUPA IND. DE PLASTICO LTDA,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,NO GROUP (FW),NOVO HAMBURGO,RIO GRANDE DO SUL,93546640,Brazil,AMERICAS,142,110,49.00%,0.00%
S.E.C. (DONGGUAN) ACCESSORIES LIMITED,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,SEC ACCESSORIES,DONGGUAN CITY,GUANGDONG,523590,China,N ASIA,32,20,54.00%,0.00%
SABRINA CAMBODIA GARMENT MANUFACTURING,FINISHED GOODS,APPAREL,NIKE,SABRINA,SAMRONG TORNG DISTRICT,KAMPONG SPUEU,111111,Cambodia,SE ASIA,4300,3900,93.00%,0.00%
SADESA (AYUTTHAYA),MATERIALS,MATERIALS,NIKE,SADESA,AYUTTHAYA,CENTRAL,0,Thailand,SE ASIA,,,0.00%,0.00%
SADESA (CHONBURI),MATERIALS,MATERIALS,NIKE,SADESA,CHONBURI,CENTRAL,20230,Thailand,SE ASIA,,,0.00%,0.00%
"SAIGON DARYAR PLASTIC CO.,LTD",FINISHED GOODS,EQUIPMENT,NIKE,SAIGON DARYAR,DI AN,BÌNH DUONG,590000,Vietnam,SE ASIA,510,450,90.00%,0.00%
SAIGON GOLDEN PRENE ENTERPRISE COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,GUANG DER,BINH DUONG,BÌNH DUONG,72000,Vietnam,SE ASIA,1403,1050,79.00%,1.10%
SAN FANG (INDONESIA),MATERIALS,MATERIALS,"NIKE, Converse",SAN FANG,TANGERANG,SERANG,0,Indonesia,S ASIA,,,0.00%,0.00%
SAN FANG (TAIWAN),MATERIALS,MATERIALS,NIKE,SAN FANG,KAOHSIUNG,,,Taiwan,N ASIA,,,0.00%,0.00%
SAN FANG (VIETNAM),MATERIALS,MATERIALS,NIKE,SAN FANG,TAN THANH,THANH PHO HO CHI MINH,10,Vietnam,SE ASIA,,,0.00%,0.00%
SAN FANG CHINA,MATERIALS,MATERIALS,NIKE,SAN FANG,DONGGUAN,GUANGDONG,523758,China,N ASIA,,,0.00%,0.00%
SAO KHUE,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,BIEN HOA CITY,ÐNG NAI,76000,Vietnam,SE ASIA,1337,1232,96.00%,0.00%
SARNO DISPLAY S.R.L.,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),CARNATE,LOMBARDIA,20866,Italy,EMEA,86,54,57.00%,3.70%
"SATO KNIT CO., LTD",FINISHED GOODS,APPAREL,NIKE,SATO KNIT,AMAKUSA-CITY,KUMAMOTO,863 0011,Japan,N ASIA,43,40,90.00%,42.50%
SCAVI HUE COMPANY,FINISHED GOODS,APPAREL,NIKE,SCAVI,PHONG DIEN,THA THIÊN-HU,530000,Vietnam,SE ASIA,6646,5105,80.00%,0.00%
SELF MAGLIERIA SNC DI FLORIANI FABRIZIO & C.,FINISHED GOODS,APPAREL,NIKE,SELF MAGLIERIA,LOMBARDY,COMO,22070,Italy,EMEA,25,22,92.00%,0.00%
SEWING JONAH,FINISHED GOODS,APPAREL,NIKE,SEWING JONAH,KUMAMOTO -CITY,KUMAMOTO,861 4101,Japan,N ASIA,47,43,84.00%,27.90%
SEYANG CORPORATION VIETNAM,FINISHED GOODS,APPAREL,NIKE,SEYANG,KIMBANG DISTRICT,HÀ NAM,700635492,Vietnam,SE ASIA,600,450,85.00%,0.00%
SFO APPAREL INC. (SEWING & CUTTING),FINISHED GOODS,APPAREL,NIKE,SFO APPAREL,BRISBANE,CALIFORNIA,94005,United States of America,AMERICAS,80,68,87.00%,0.00%
SHADELINE PVT LTD,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,MAHIYANGANAYA,?V? M?K??AM,90730,Sri Lanka,S ASIA,1848,1240,74.00%,0.00%
"SHANDONG YUANCHENGHE GARMENTS CO.,LTD",FINISHED GOODS,APPAREL,NIKE,FAR EASTERN,"NINGYANG COUNTY, TAIAN CITY",SHANDONG,271400,China,N ASIA,116,90,75.00%,0.00%
SHANGGAO YISEN INDUSTRY CO. LTD.,FINISHED GOODS,FOOTWEAR,NIKE,POU CHEN,YICHUN,JIANGXI,336400,China,N ASIA,7879,6087,86.00%,0.00%
SHAO YANG COUNTY STEIIA FOOTWEAR LTD,FINISHED GOODS,FOOTWEAR,NIKE,STELLA,SHAOYANG,HUNAN,422100,China,N ASIA,1262,1207,97.00%,0.00%
SHAOYANG LIANTAI SQ HANSHOU UPPER FACILITY,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,STELLA,CHANDE CITY,HUNAN,415907,China,N ASIA,955,874,97.00%,0.00%
SHAOYANG STELLA FOOTWEAR COMPANY LIMITED,FINISHED GOODS,FOOTWEAR,NIKE,STELLA,SHAOYANG CITY,HUNAN,422000,China,N ASIA,4215,4024,84.00%,0.00%
"SHEN ZHOU (CAMBODIA) CO., LTD",FINISHED GOODS,APPAREL,NIKE,NINGBO,PHNOM PENH,PHNOM PENH,0,Cambodia,SE ASIA,2835,2602,92.00%,4.20%
"SHENZHEN PENGYIFA INDUSTRIAL CO, LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),SHENZHEN GUANGMING DISTRICT,GUANGDONG,518107,China,N ASIA,46,32,52.00%,0.00%
SHINTA WOOSUNG,MATERIALS,MATERIALS,NIKE,SHINTA WOOSUNG,SERANG,BANTEN,42178,Indonesia,S ASIA,,,0.00%,0.00%
SHIXING TIAN HE GARMENTS CO. LTD.,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),SHAO GUANG,GUANGDONG,,China,N ASIA,127,122,81.00%,0.00%
"SHOETOWN FOOTWEAR CO.,LTD",FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,QINGYUAN CITY,GUANGDONG,511800,China,N ASIA,12134,9955,87.00%,0.00%
SHOETOWN HUNAN,FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,YONGZHOU CITY,HUNAN,,China,N ASIA,3429,3127,84.00%,7.40%
SHOETOWN JINTAN,FINISHED GOODS,FOOTWEAR,NIKE,SHOETOWN,QINGYUAN CITY,GUANGDONG,511515,China,N ASIA,1138,1048,87.00%,0.00%
SLANE HOSIERY MILLS - CENTENNIAL FACILITY,FINISHED GOODS,EQUIPMENT,NIKE,SLANE,HIGH POINT,NORTH CAROLINA,27260,United States of America,AMERICAS,463,149,52.00%,0.00%
SLANE HOSIERY MILLS - FAIRFIELD FACILITY,FINISHED GOODS,EQUIPMENT,NIKE,SLANE,HIGH POINT,NORTH CAROLINA,27263,United States of America,AMERICAS,493,168,54.00%,0.00%
"SNP CO.,LTD.",FINISHED GOODS,APPAREL,NIKE,SPORTS CITY,"THU DAU MOT CITY, ",BÌNH DUONG,75000,Vietnam,SE ASIA,492,419,90.00%,0.00%
SON KHA SCREEN PRINTING CO. LTD,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,HO CHI MINH CITY,,,Vietnam,SE ASIA,134,94,60.00%,1.10%
SONG HONG GARMENT FACTORY,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),HAI HAU,NAM ÐNH,,Vietnam,SE ASIA,1950,1950,85.00%,0.00%
SONG HONG GARMENT JSC - FACTORY 15.16.17.18,FINISHED GOODS,APPAREL,NIKE,SONG HONG,HOBOKEN,NAM ÐNH,7030,Vietnam,SE ASIA,1997,1380,85.00%,0.00%
SONGSEN GARMENT SUZHOU LTD,FINISHED GOODS,APPAREL,NIKE,TAI WAH,SUZHOU,,215124,China,N ASIA,340,320,91.00%,0.00%
SOUTH ISLAND GARMENT SDN. BHD.,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,PRAI,,13600,Malaysia,S ASIA,405,140,67.00%,78.60%
"SOUTHERN APPAREL CONTRACTORS, S.A.",FINISHED GOODS,APPAREL,NIKE,TEGRA,CARRETERA A SAN PEDRO SULA,CORTÉS,21103,Honduras,AMERICAS,3886,2893,60.00%,0.00%
SPORTEK,FINISHED GOODS,FOOTWEAR,NIKE,DIAMANT,KOTOR VAROS,REPUBLIKA SRPSKA,78220,Bosnia and Herz.,EMEA,2007,1846,72.00%,0.30%
STANWELL-EXPAN CO. LTD,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,STANWELL-EXPAN,TAOYUAN,T'AI-WAN,333,Taiwan,N ASIA,627,477,38.00%,15.90%
STAPLES PROMOTIONAL PRODUCTS (ORANGE CITY),FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),ORANGE CITY,IOWA,51041,United States of America,AMERICAS,308,293,76.00%,0.00%
STAPLES PROMOTIONAL PRODUCTS (MARCUS),FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),MARCUS,IOWA,51035,United States of America,AMERICAS,68,65,87.00%,0.00%
STERLING APPAREL MANUFACTURING L.L.C,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,MADABA,MADABA,11636,Jordan,EMEA,354,247,93.00%,6.90%
STERLING APPAREL MANUFACTURING L.L.C. SAHAB,FINISHED GOODS,APPAREL,NIKE,MAS HOLDINGS,SAHAB,AMMAN,11636,Jordan,EMEA,1602,1313,80.00%,119.00%
STYLDEA SRL,FINISHED GOODS,FOOTWEAR,Converse,STYLDEA,ALTIVOLE,TREVISO,31030,Italy,EMEA,18,13,78.00%,0.00%
STYLE MANUFACTURERS,FINISHED GOODS,APPAREL,NIKE,STYLE,LEON,GUANAJUATO,37358,Mexico,AMERICAS,257,229,48.00%,0.00%
STYLE TEXTILE IV,FINISHED GOODS,APPAREL,NIKE,STYLE TEXTILE,LAHORE,PUNJAB,54500,Pakistan,S ASIA,3375,2932,13.00%,0.00%
STYLE TEXTILE PVT LTD.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,STYLE TEXTILE,LAHORE,PUNJAB,54770,Pakistan,S ASIA,4392,2961,22.00%,0.00%
STYLE TEXTILE PVT. LTD. UNIT NO. 2,FINISHED GOODS,APPAREL,NIKE,STYLE TEXTILE,LAHORE,PUNJAB,54770,Pakistan,S ASIA,398,349,1.00%,0.00%
"STYLE TEXTILE(PVT.) LIMITED, (MANGA)",FINISHED GOODS,APPAREL,NIKE,STYLE TEXTILE,KASUR/LAHORE,PUNJAB,55150,Pakistan,S ASIA,7093,5221,1.00%,0.00%
"SUMBER MASANDA JAYA, PT",FINISHED GOODS,FOOTWEAR,NIKE,PRATAMA,BREBES,JAWA TENGAH,52253,Indonesia,S ASIA,1956,1650,90.00%,0.00%
"SUNNY JET HOSIERY CO., LIMITED",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),YANGZHOU,JIANGSU,225003,China,N ASIA,253,198,82.00%,21.20%
SUSSEX IM,FINISHED GOODS,EQUIPMENT,NIKE,NO GROUP (EQ),SUSSEX,WISCONSIN,53089,United States of America,AMERICAS,315,315,28.00%,0.00%
SUZHOU TAIWAY APPAREL PTE LTD,FINISHED GOODS,APPAREL,NIKE,TAI WAH,"MUDU TOWN, WUZHONG SECTION",JIANGSU,215101,China,N ASIA,400,360,83.00%,0.00%
TAE KWANG CAN THO LIMITED LIABILITY COMPANY,FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,CAI RANG,CAN THO,900000,Vietnam,SE ASIA,4164,3910,56.00%,0.00%
TAE KWANG VINA,FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,BIEN HOA,ÐNG NAI,700000,Vietnam,SE ASIA,14720,12187,91.00%,0.00%
TAE KWANG VINA JOINT STOCK COMPANY'S BRANCH,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,BIEN HOA,ÐNG NAI,70000,Vietnam,SE ASIA,9596,8884,92.00%,0.00%
TAE KWANG VINA SATELLITE,FINISHED GOODS - COMPONENTS,FOOTWEAR,NIKE,TAEKWANG,MY THO,TIN GIANG,860000,Vietnam,SE ASIA,6131,5474,96.00%,0.00%
"TAEKWANG INDUSTRY CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,TAEKWANG,GIMHAE,GYEONGSANGNAMDO,621-200,South Korea,N ASIA,866,289,63.00%,0.00%
TAI WAH GARMENTS INDUSTRY SDN BHD KULAI JAYA,FINISHED GOODS,APPAREL,NIKE,TAI WAH,JOHOR DARUL TAKZIM,JOHOR,81000,Malaysia,S ASIA,1517,1394,30.00%,80.60%
TAI WAH GARMENTS INDUSTRY SDN. BHD SEGAMAT,FINISHED GOODS,APPAREL,NIKE,TAI WAH,SEGAMAT,JOHOR,85000,Malaysia,S ASIA,842,805,52.00%,62.40%
TAI WAH GARMENTS INDUSTRY SDN. BHD.- KL1,FINISHED GOODS,APPAREL,NIKE,TAI WAH,KLUANG,JOHOR,86000,Malaysia,S ASIA,715,696,23.00%,53.90%
"TAICHUNG SHUIHING LABEL WEAVING CO., LTD.",FINISHED GOODS - COMPONENTS,APPAREL,NIKE,AVERY DENNISON,TAICHUNG,TAICHUNG,43769,Taiwan,N ASIA,84,67,80.00%,22.40%
TAITAT PUTRA REJEKI,FINISHED GOODS,EQUIPMENT,Converse,NO GROUP (EQ),BOGOR,JAKARTA RAYA,0,Indonesia,S ASIA,74,57,66.00%,0.00%
TEAM EDITION APPAREL,FINISHED GOODS,APPAREL,NIKE,TEAM EDITION,BRADENTON,FLORIDA,34208,United States of America,AMERICAS,166,166,65.00%,0.00%
TEXLAN CENTER PRIVATE LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,INTERLOOP,MINUWANGODA,COLOMBO,11550,Sri Lanka,S ASIA,922,721,39.00%,0.00%
TEXTEL SPORT TECH S.A.,FINISHED GOODS,APPAREL,NIKE,SPORT TECH,SAN MARTIN,BUENOS AIRES,,Argentina,AMERICAS,125,105,55.00%,48.60%
TEXTIL H.J.HERING LTDA,FINISHED GOODS,APPAREL,NIKE,TEXTIL H.J. HERING,INDAIAL,SANTA CATARINA,89086723,Brazil,AMERICAS,275,260,81.00%,0.00%
TEXTILES INTERNATIONAL OF EGYPT LTD.,FINISHED GOODS,APPAREL,NIKE,TIE TEXTILES,CAIRO,ASH SHARQIYAH,11816,Egypt,EMEA,1224,660,56.00%,0.00%
"TEXTILES LA PAZ, L.L.C.",FINISHED GOODS,APPAREL,NIKE,FUN TEES,EL ROSARIO LA PAZ,LA PAZ,n/a,El Salvador,AMERICAS,2502,1953,53.00%,0.40%
"TEXTURERIAS, S.A. DE C.V.",FINISHED GOODS,APPAREL,NIKE,TEXTURERIAS,SANTIAGO TIANGUISTENCO,DISTRITO FEDERAL,52600,Mexico,AMERICAS,273,273,52.00%,0.00%
"THAI SOCK CO., LTD.",FINISHED GOODS,APPAREL,NIKE,THAI SOCKS,PRAPRADAENG,SAMUT PRAKAN,10130,Thailand,SE ASIA,503,285,76.00%,4.20%
"THE HADDAD APPAREL WUXI, CO., LTD",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),WUXI,JIANGSU,214125,China,N ASIA,57,43,75.00%,0.00%
"THUAN PHUONG EMBROIDERIES & GARMENTS CO., LTD - BINH CHANH FACTORY",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),BINH CHANH DISTRICT,HO CHI MINH,700000,Vietnam,SE ASIA,1506,1444,78.00%,0.00%
"THUAN PHUONG EMBROIDERIES GARMENTS CO., LTD.",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),HO CHI MINH CITY,HO CHI MINH,700000,Vietnam,SE ASIA,1568,917,71.00%,0.00%
TIONG LIONG (CHINA),MATERIALS,MATERIALS,NIKE,TLC ,FUQING CITY,FUJIAN,350300,China,N ASIA,,,0.00%,0.00%
TIONG LIONG (TAIWAN),MATERIALS,MATERIALS,NIKE,TLC ,TAICHUNG,T'AI-WAN,0,Taiwan,N ASIA,,,0.00%,0.00%
TIONG LIONG (VIETNAM),MATERIALS,MATERIALS,NIKE,TLC ,THUAN AN,BINH DUONG PROVINCE,0,Vietnam,SE ASIA,,,0.00%,0.00%
"TMI VIETNAM CO., LTD",FINISHED GOODS,APPAREL,NIKE,TUNG MUNG,HO CHI MINH CITY,HO CHI MINH,700000,Vietnam,SE ASIA,1817,1492,72.00%,0.00%
TNG INVESTMENT AND TRADING JSC - DAI TU,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),THAI NGUYEN,THÁI NGUYÊN,240000,Vietnam,SE ASIA,2013,1938,80.00%,0.00%
TOCCALINO CARLOS JAVIER Y TOCCALINO DANIEL ANTONIO S.H.,FINISHED GOODS,APPAREL,Converse,NO GROUP (AP),LUJAN,BUENOS AIRES,B6700,Argentina,AMERICAS,21,15,1.00%,6.70%
TONG HONG CHINA,MATERIALS,MATERIALS,NIKE,TONG HONG,BEIHAI,GUANGXI,536100,China,N ASIA,,,0.00%,0.00%
TONG HONG VIETNAM,MATERIALS,MATERIALS,NIKE,TONG HONG,TAN THANH,BINH DUONG,0,Vietnam,SE ASIA,,,0.00%,0.00%
TOP SUMMIT GARMENT INC,FINISHED GOODS,APPAREL,NIKE,SABRINA,KANDAL,KANDAAL,315000,Cambodia,SE ASIA,3987,3423,9.00%,0.00%
TORAY SAKAI CO. LTD.,MATERIALS,MATERIALS,NIKE,TORAY SAKAI CO. LTD.,JIANG SU,JIANGSU,226010,China,N ASIA,,,0.00%,0.00%
"TOYAMA SPORTS GOODS CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,TOYAMA SPORTS,NANTO,TOYAMA,939-1637,Japan,N ASIA,3,1,25.00%,0.00%
TTG CO. LTD.,FINISHED GOODS,APPAREL,NIKE,SOUTH ISLAND,TIEN GIANG,,,Vietnam,SE ASIA,51,27,37.00%,0.00%
TUKES PRINTING,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),TREMONT,PENNSYLVANIA,17981,United States of America,AMERICAS,51,43,73.00%,0.00%
TUNTEX SOC TRANG VIETNAM CO.LTD,FINISHED GOODS,APPAREL,NIKE,TUNTEX,SOC TRANG,SÓC TRANG,95000,Vietnam,SE ASIA,2545,2125,95.00%,0.80%
"U.S. EMBROIDERY, LLC",FINISHED GOODS,APPAREL,NIKE,US EMBROIDERY,WILSONVILLE,OREGON,97070-7678,United States of America,AMERICAS,18,18,90.00%,0.00%
UAB HALTEX,FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),ALYTUS,ALYTAUS APSKRITIS,62175,Lithuania,EMEA,353,277,91.00%,0.00%
"UNICHELA (PVT)LTD, VIDIYAL DIVISION",FINISHED GOODS,APPAREL,NIKE,NO GROUP (AP),KILINOCHCHI,KILINOCHCHI,44000,Sri Lanka,S ASIA,1362,1127,100.00%,0.00%
"UNIPAX CO., LTD",FINISHED GOODS,APPAREL,NIKE,HWASEUNG CROWN,BIEN HOA CITY,ÐNG NAI,,Vietnam,SE ASIA,1850,1650,96.00%,0.00%
"UNITED SWEETHEARTS GARMENT (VIETNAM) CO., LTD.",FINISHED GOODS,APPAREL,NIKE,UNITED SWEETHEART,DONG NAI,ÐNG NAI,14209,Vietnam,SE ASIA,2508,2100,86.00%,94.70%
UNITED SWEETHEARTS GARMENT SDN BHD,FINISHED GOODS,APPAREL,NIKE,UNITED SWEETHEART,SUNGAI BAKAP,PULAU PINANG,14209,Malaysia,S ASIA,1174,667,22.00%,81.60%
"UNIVERSAL SPORTING GOODS THAILAND CO., LTD.",FINISHED GOODS,EQUIPMENT,NIKE,UNIVERSAL,NAKORNPRATHOM,CHON BURI,73110,Thailand,SE ASIA,539,462,81.00%,42.40%
"VEGA BALLS MANUFACTURING CO.,LTD.",FINISHED GOODS,EQUIPMENT,NIKE,VEGA BALL,A.MUANGSAMUTPRAKARN,SAMUT PRAKAN,10280,Thailand,SE ASIA,473,394,77.00%,0.00%
"VERTEX APPAREL CO., LTD.",FINISHED GOODS,APPAREL,NIKE,HONG SENG,WARINCHAMRAB,UBON RATCHATHANI,34190,Thailand,SE ASIA,1655,1183,80.00%,17.80%
VERTICAL KNITS S.A. DE C.V.,FINISHED GOODS - COMPONENTS,APPAREL,NIKE,VERTICAL KNITS,BACA,YUCATÁN,97450,Mexico,AMERICAS,2195,1246,43.00%,1.00%
